ID,federalstate,infections,deaths,date
242,Bavaria,1692,8,2020-03-19
243,Berlin,573,0,2020-03-19
244,Brandenburg,134,0,2020-03-19
245,Bremen,80,0,2020-03-19
246,Hamburg,432,0,2020-03-19
247,Hesse,682,0,2020-03-19
248,Lower Saxony,669,0,2020-03-19
249,Mecklenburg-Western Pomerania,98,0,2020-03-19
250,North Rhine-Westphalia,3033,6,2020-03-19
251,Rhineland-Palatinate,637,0,2020-03-19
252,Saarland,99,0,2020-03-19
253,Saxony,275,0,2020-03-19
254,Saxony-Anhalt,140,0,2020-03-19
255,Schleswig-Holstein,202,0,2020-03-19
256,Thuringia,98,0,2020-03-19
257,Baden-Württemberg,2746,10,2020-03-20
258,Bavaria,2401,12,2020-03-20
259,Berlin,731,0,2020-03-20
260,Brandenburg,192,0,2020-03-20
261,Bremen,121,0,2020-03-20
262,Hamburg,586,0,2020-03-20
263,Hesse,813,1,2020-03-20
264,Lower Saxony,803,0,2020-03-20
265,Mecklenburg-Western Pomerania,131,0,2020-03-20
266,North Rhine-Westphalia,3497,6,2020-03-20
267,Rhineland-Palatinate,801,1,2020-03-20
268,Saarland,146,0,2020-03-20
269,Saxony,394,0,2020-03-20
270,Saxony-Anhalt,180,0,2020-03-20
271,Schleswig-Holstein,266,1,2020-03-20
272,Thuringia,149,0,2020-03-20
273,Baden-Württemberg,3668,16,2020-03-21
274,Bavaria,2960,19,2020-03-21
275,Berlin,866,1,2020-03-21
276,Brandenburg,254,0,2020-03-21
277,Bremen,142,0,2020-03-21
278,Hamburg,587,0,2020-03-21
279,Hesse,1080,2,2020-03-21
280,Lower Saxony,1023,0,2020-03-21
281,Mecklenburg-Western Pomerania,165,0,2020-03-21
282,North Rhine-Westphalia,3542,6,2020-03-21
283,Rhineland-Palatinate,938,1,2020-03-21
284,Saarland,187,0,2020-03-21
285,Saxony,567,0,2020-03-21
286,Saxony-Anhalt,188,1,2020-03-21
287,Schleswig-Holstein,308,1,2020-03-21
288,Thuringia,187,0,2020-03-21
